Review,y
it's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding . ,0
watching harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death ,0
it's also curious to note that this film ,0
'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa ,0
will probably be one of those movies barely registering a blip on the radar screen of 2002 . ,0
the problem is not that it's all derivative ,0
there's nothing interesting in unfaithful whatsoever . ,0
none of this is half as moving as the filmmakers seem to think . ,0
a processed comedy chop suey . ,0
as spent screen series go ,0
fails as a dystopian movie ,0
full of the kind of obnoxious chitchat that only self-aware neurotics engage in . ,0
an erotic thriller that's neither too erotic nor very thrilling ,0
the movie ,0
with its parade of almost perpetually wasted characters . . . margarita feels like a hazy high that takes too long to shake . ,0
if you value your time and money ,0
the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions ,0
everything is pegged into the groove of a new york dating comedy with 'issues' to simplify . ,0
a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff . ,0
the cameo-packed ,0
it comes off as so silly that you wouldn't be surprised if ba ,0
the 50-something lovebirds are too immature and unappealing to care about . ,0
so genial is the conceit ,0
even in the summertime ,0
what with all the blanket statements and dime-store ruminations on vanity ,0
one lousy movie . ,0
as gamely as the movie tries to make sense of its title character ,0
plodding ,0
the four feathers is definitely horse feathers ,0
oozes condescension from every pore . ,0
"solaris "" is a shapeless inconsequential move relying on the viewer to do most of the work . ",0
the direction ,0
 . . . hypnotically dull . ,0
though this saga would be terrific to read about ,0
it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense . ,0
an awful lot like one of [spears'] music videos in content -- except that it goes on for at least 90 more minutes and ,0
confusion is one of my least favourite emotions ,0
[h]ad i suffered and bled on the hard ground of ia drang ,0
occasionally loud and offensive ,0
it may play well as a double feature with mainstream foreign mush like my big fat greek wedding,0
by the time you reach the finale ,0
journalistically dubious ,0
putting the primitive murderer inside a high-tech space station unleashes a pandora's box of special effects that run the gamut from cheesy to cheesier to cheesiest . ,0
 at its best ,0
exactly what you'd expect from a guy named kaos . ,0
calculated swill . ,0
this movie . . . doesn't deserve the energy it takes to describe how bad it is . ,0
with or without ballast tanks ,0
director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two . ,0
you might be shocked to discover that seinfeld's real life is boring . ,0
it's not nearly as fresh or enjoyable as its predecessor ,0
walsh can't quite negotiate the many inconsistencies in janice's behavior or compensate for them by sheer force of charm . ,0
this 10th film in the series looks and feels tired . ,0
it leers ,0
i found myself growing more and more frustrated and detached as vincent became more and more abhorrent . ,0
one of the oddest and most inexplicable sequels in movie history . ,0
there's nothing to gain from watching they . it isn't scary . it hates its characters . it finds no way to entertain or inspire its viewers . ,0
fear permeates the whole of stortelling ,0
the skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense . ,0
thoroughly awful . ,0
 . . . ice age treads predictably along familiar territory ,0
though the film is well-intentioned ,0
just too silly and sophomoric to ensnare its target audience . ,0
the video work is so grainy and rough ,0
truly terrible . ,0
a cleverly crafted but ultimately hollow mockumentary . ,0
it gets bogged down by hit-and-miss topical humour before getting to the truly good stuff . ,0
an achingly enthralling premise ,0
it's tommy's job to clean the peep booths surrounding her ,0
rifkin no doubt fancies himself something of a hubert selby jr . ,0
fluffy and disposible . ,0
such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show . ,0
if you go into the theater expecting a scary ,0
holds limited appeal to those who like explosions ,0
the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed . ,0
a feature-length ,0
what you end up getting is the vertical limit of surfing movies - memorable stunts with lots of downtime in between . ,0
stealing harvard doesn't care about cleverness ,0
bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense ,0
there's undeniable enjoyment to be had from films crammed with movie references ,0
imagine kevin smith ,0
suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands . ,0
what soured me on the santa clause 2 was that santa bumps up against 21st century reality so hard ,0
it's an 88-minute highlight reel that's 86 minutes too long . ,0
the film favors the scientific over the spectacular ( visually speaking ) . ,0
such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema . ,0
with the exception of mccoist ,0
the whole affair is as predictable as can be . ,0
a not-so-divine secrets of the ya-ya sisterhood with a hefty helping of re-fried green tomatoes . ,0
this cloying ,0
a suffocating rape-payback horror show that hinges on the subgenre's most enabling victim . . . and an ebullient affection for industrial-model meat freezers . ,0
star trek was kind of terrific once ,0
[n]o matter how much good will the actors generate ,0
every potential twist is telegraphed well in advance ,0
puts on airs of a hal hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself . ,0
ver wiel's desperate attempt at wit is lost ,0
despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth ,0
although disney follows its standard formula in this animated adventure ,0
gaghan . . . has thrown every suspenseful cliché in the book at this nonsensical story . ,0
a sham construct based on theory ,0
[p]artnering murphy with robert de niro for the tv-cops comedy showtime would seem to be surefire casting . the catch is that they're stuck with a script that prevents them from firing on all cylinders . ,0
'you'll laugh for not quite and hour and a half ,0
gooding offers a desperately ingratiating performance . ,0
parker should be commended for taking a fresh approach to familiar material ,0
the director has injected self-consciousness into the proceedings at every turn . the results are far more alienating than involving . ,0
bogdanich is unashamedly pro-serbian and makes little attempt to give voice to the other side . ,0
a lack of thesis makes maryam ,0
the worst film of the year . ,0
by-the-numbers yarn . ,0
without shakespeare's eloquent language ,0
if h . g . wells had a time machine and could take a look at his kin's reworked version ,0
during the tuxedo's 90 minutes of screen time ,0
bisset delivers a game performance ,0
watching austin powers in goldmember is like binging on cotton candy . it's sweet and fluffy at the time ,0
the most anti-human big studio picture since 3000 miles to graceland . ,0
the film can depress you about life itself . ,0
i'm sure the filmmakers found this a remarkable and novel concept ,0
the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line . ,0
its weighty themes are too grave for youngsters ,0
the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel . ,0
sometimes there are very ,0
at 90 minutes this movie is short ,0
here's my advice ,0
an alternately raucous and sappy ethnic sitcom . . . you'd be wise to send your regrets . ,0
an ugly-duckling tale so hideously and clumsily told it feels accidental . ,0
unfortunately ,0
it wraps up a classic mother/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it's not all new ,0
glazed with a tawdry b-movie scum . ,0
this is the kind of movie during which you want to bang your head on the seat in front of you ,0
it winds up moving in many directions as it searches ( vainly ,0
all in all ,0
a big fat pain . ,0
a mimetic approximation of better films like contempt and 8 1/2 . ,0
unintelligible ,0
watching the powerpuff girls movie ,0
aan opportunity wasted . ,0
an inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength . ,0
to build a feel-good fantasy around a vain dictator-madman is off-putting ,0
with the cheesiest monsters this side of a horror spoof ,0
mild ,0
though its atmosphere is intriguing . . . the drama is finally too predictable to leave much of an impression . ,0
though this rude and crude film does deliver a few gut-busting laughs ,0
although it tries to be much more ,0
astonishing isn't the word -- neither is incompetent ,0
one thing is for sure : this movie does not tell you a whole lot about lily chou-chou . ,0
with a tone as variable as the cinematography ,0
to better understand why this didn't connect with me would require another viewing ,0
cuba gooding jr . valiantly mugs his way through snow dogs ,0
diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing . ,0
not at all clear what it's trying to say and even if it were – i doubt it would be all that interesting . ,0
storytelling feels slight . ,0
[swimfan] falls victim to sloppy plotting ,0
this remake of lina wertmuller's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since john and bo derek made the ridiculous bolero . ,0
silly ,0
why spend $9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ? ,0
the french director has turned out nearly 21/2 hours of unfocused ,0
the basic premise is intriguing but quickly becomes distasteful and downright creepy . ,0
the pool drowned me in boredom . ,0
it's like an all-star salute to disney's cheesy commercialism . ,0
it's hard to imagine any recent film ,0
some of the computer animation is handsome ,0
there's an excellent 90-minute film here ; unfortunately ,0
as saccharine movies go ,0
die another day is only intermittently entertaining but it's hard not to be a sucker for its charms ,0
as is often the case with ambitious ,0
the mystery of enigma is how a rich historical subject ,0
it throws quirky characters ,0
the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror/action hybrid . ,0
bad company . bad movie . just plain bad . ,0
it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death ,0
avary's film never quite emerges from the shadow of ellis' book . ,0
a poorly scripted ,0
while it is interesting to witness the conflict from the palestinian side ,0
woo has as much right to make a huge action sequence as any director ,0
it's sincere to a fault ,0
 . . . jones ,0
this follow-up seems so similar to the 1953 disney classic that it makes one long for a geriatric peter . ,0
why ,0
this slow-moving swedish film offers not even a hint of joy ,0
a muddled limp biscuit of a movie ,0
there's the plot ,0
this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action . ,0
this is amusing for about three minutes . ,0
klein ,0
"it's rare to see a movie that takes such a speedy swan dive from "" promising "" to "" interesting "" to "" familiar "" before landing squarely on "" stupid "" . ",0
this is the sort of low-grade dreck that usually goes straight to video --with a lousy script ,0
the direction occasionally rises to the level of marginal competence ,0
there are few things more frustrating to a film buff than seeing an otherwise good movie marred beyond redemption by a disastrous ending . ,0
it won't harm anyone ,0
looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights . ,0
given too much time to consider the looseness of the piece ,0
they kept much of the plot but jettisoned the stuff that would make this a moving experience for people who haven't read the book . ,0
just because a walk to remember is shrewd enough to activate girlish tear ducts doesn't mean it's good enough for our girls . ,0
[carvey's] characters are both overplayed and exaggerated ,0
it's mildly interesting to ponder the peculiar american style of justice that plays out here ,0
this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension . ,0
brown's saga ,0
the boys' sparring ,0
the script by vincent r . nebrida . . . tries to cram too many ingredients into one small pot . ,0
the story is so light and sugary that were it a macy's thanksgiving day parade balloon ,0
oedekerk mugs mercilessly ,0
since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer ,0
only those most addicted to film violence in all its forms will find anything here to appreciate . ,0
cold and scattered ,0
every now and again ,0
it's not difficult to spot the culprit early-on in this predictable thriller . ,0
[a] soulless ,0
 . . . a mostly boring affair with a confusing sudden finale that's likely to irk viewers . ,0
the trappings of i spy are so familiar you might as well be watching a rerun . ,0
what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film . ,0
in the wake of saving private ryan ,0
it is messy ,0
really does feel like a short stretched out to feature length . ,0
hampered -- no ,0
cheap ,0
and if you appreciate the one-sided theme to lawrence's over-indulgent tirade ,0
directed without the expected flair or imagination by hong kong master john woo ,0
it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere . ,0
the movie is loaded with good intentions ,0
an infuriating film . just when you think you are making sense of it ,0
the entire movie is so formulaic and forgettable that it's hardly over before it begins to fade from memory . ,0
the setting turns out to be more interesting than any of the character dramas ,0
as an entertainment destination for the general public ,0
this misty-eyed southern nostalgia piece ,0
as pure over-the-top trash ,0
wendigo wants to be a monster movie for the art-house crowd ,0
bigelow offers some flashy twists and turns that occasionally fortify this turgid fable . but for the most part ,0
this film biggest problem ? no laughs . ,0
less-than-compelling documentary of a yiddish theater clan . ,0
"that the chuck norris "" grenade gag "" occurs about 7 times during windtalkers is a good indication of how serious-minded the film is . ",0
viewers are asked so often to suspend belief that were it not for holm's performance ,0
it's not exactly worth the bucks to expend the full price for a date ,0
i can't begin to tell you how tedious ,0
everybody loves a david and goliath story ,0
throw smoochy from the train ! ,0
eventually ,0
irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free . ,0
a light ,0
cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle . ,0
to paraphrase a line from another dickens' novel ,0
the actresses may have worked up a back story for the women they portray so convincingly ,0
the result ,0
an extremely unpleasant film . ,0
a movie just for friday fans ,0
a sincere but dramatically conflicted gay coming-of-age tale . ,0
wait for it to hit cable . ,0
ultimately feels like just one more in the long line of films this year about the business of making movies . ,0
a high-minded snoozer . ,0
nothing but one relentlessly depressing situation after another for its entire running time ,0
77 minutes of pokemon may not last 4ever ,0
the one not-so-small problem with expecting is that the entire exercise has no real point . ,0
a movie you observe ,0
[at least] moore is a real charmer . ,0
john carlen's script is full of unhappy ,0
labute can't avoid a fatal mistake in the modern era : he's changed the male academic from a lower-class brit to an american ,0
the notion of deleting emotion from people ,0
stale first act ,0
unsurprisingly ,0
a film that loses sight of its own story . ,0
adam sandler's eight crazy nights grows on you -- like a rash . ,0
the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison . ,0
few of the increasingly far-fetched events that first-time writer-director neil burger follows up with are terribly convincing ,0
gets better after foster leaves that little room . ,0
the movie is as padded as allen's jelly belly . ,0
resident evil isn't a product of its cinematic predecessors so much as an mtv ,0
a rather average action film that benefits from several funny moments supplied by epps . ,0
 . . . unspeakably ,0
resembles a soft porn brian de palma pastiche . ,0
bluto blutarsky ,0
innocuous enough to make even jean-claude van damme look good . ,0
it's a glorified sitcom ,0
woody allen can write and deliver a one liner as well as anybody . but i had a lot of problems with this movie . ,0
execrable . ,0
devoid of any of the qualities that made the first film so special . ,0
all movie long ,0
plotless collection of moronic stunts is by far the worst movie of the year . ,0
however sincere it may be ,0
parker updates the setting in an attempt to make the film relevant today ,0
it's sort of a 21st century morality play with a latino hip hop beat . but the second half of the movie really goes downhill . ,0
paxton's uneven directorial debut fails to unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre . ,0
the script becomes lifeless and falls apart like a cheap lawn chair . ,0
the script falls back on too many tried-and-true shenanigans that hardly distinguish it from the next teen comedy . ,0
the film starts promisingly ,0
let's issue a moratorium ,0
it's the element of condescension ,0
alternately frustrating and rewarding . ,0
it's impossible to even categorize this as a smutty guilty pleasure . ,0
despite suffering a sense-of-humour failure ,0
swinging ,0
the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny ,0
see clockstoppers if you have nothing better to do with 94 minutes . but be warned ,0
suffers from over-familiarity since hit-hungry british filmmakers have strip-mined the monty formula mercilessly since 1997 . ,0
there are enough throwaway references to faith and rainbows to plant smile-button faces on that segment of the populace that made a walk to remember a niche hit . ,0
yes ,0
the cumulative effect of the movie is repulsive and depressing . ,0
children and adults enamored of all things pokemon won't be disappointed . ,0
i don't even care that there's no plot in this antonio banderas-lucy liu faceoff . it's still terrible ! ,0
children of the century ,0
it's not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent poster-boy lil' bow wow . ,0
peralta's mythmaking could have used some informed ,0
amazingly dopey . ,0
a close-to-solid espionage thriller with the misfortune of being released a few decades too late . ,0
cloaks a familiar anti-feminist equation ( career - kids = misery ) in tiresome romantic-comedy duds . ,0
the good girl is a film in which the talent is undeniable but the results are underwhelming . ,0
just a collection of this and that -- whatever fills time -- with no unified whole . ,0
the animation and game phenomenon that peaked about three years ago is actually dying a slow death ,0
only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm . ,0
kids who are into this thornberry stuff will probably be in wedgie heaven . anyone else who may ,0
mr . soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious . ,0
"do you say "" hi "" to your lover when you wake up in the morning ? ",0
it makes me feel weird / thinking about all the bad things in the world / like puppies with broken legs / and butterflies that die / and movies starring pop queens,0
director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon ,0
banal and predictable . ,0
'yes ,0
a wildly erratic drama with sequences that make you wince in embarrassment and others ,0
while easier to sit through than most of jaglom's self-conscious and gratingly irritating films ,0
about as enjoyable ,0
a generic international version of a typical american horror film . ,0
 . . . while certainly clever in spots ,0
crikey indeed . ,0
lucas has in fact come closer than anyone could desire to the cheap ,0
there's a lot of good material here ,0
absurdities and clichés accumulate like lint in a fat man's navel . ,0
if you think it's a riot to see rob schneider in a young woman's clothes ,0
the sheer dumbness of the plot ( other than its one good idea ) and the movie's inescapable air of sleaziness get you down . ,0
strangely comes off as a kingdom more mild than wild . ,0
the next big thing's not-so-big ( and not-so-hot ) directorial debut . ,0
yet another iteration of what's become one of the movies' creepiest conventions ,0
bond-inspired ? certainly . likely to have decades of life as a classic movie franchise ? let's hope not . ,0
this flat run at a hip-hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines . ,0
davis has energy ,0
surprisingly ,0
none of this is very original ,0
 . . . a bland murder-on-campus yawner . ,0
a humorless journey into a philosophical void . ,0
these two are generating about as much chemistry as an iraqi factory poised to receive a un inspector . ,0
responsável direto pelo fracasso 'artístico' de doce lar ,0
just as the lousy tarantino imitations have subsided ,0
a passable romantic comedy ,0
the movie attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago ,0
shows holmes has the screen presence to become a major-league leading lady ,0
in the book-on-tape market ,0
ultimately . . . the movie is too heady for children ,0
it's just a little too self-satisfied . ,0
clever but not especially compelling . ,0
mckay seems embarrassed by his own invention and tries to rush through the intermediary passages ,0
a piece of mildly entertaining ,0
labute was more fun when his characters were torturing each other psychologically and talking about their genitals in public . ,0
the movie weighs no more than a glass of flat champagne . ,0
brisk hack job . ,0
the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher . ,0
alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks . ,0
…the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material . ,0
what little grace [rifkin's] tale of precarious skid-row dignity achieves is pushed into the margins by predictable plotting and tiresome histrionics . ,0
tries to work in the same vein as the brilliance of animal house but instead comes closer to the failure of the third revenge of the nerds sequel . ,0
unfortunately ,0
 . . . what a banal bore the preachy circuit turns out to be,0
falsehoods pile up ,0
a mechanical action-comedy whose seeming purpose is to market the charismatic jackie chan to even younger audiences . ,0
one of the most incoherent features in recent memory . ,0
low rent from frame one . ,0
eight legged freaks ? no big hairy deal . ,0
the issues are presented in such a lousy way ,0
laggard drama wending its way to an uninspired philosophical epiphany . ,0
the respective charms of sandra bullock and hugh grant have worn threadbare . ,0
'this movie sucks . ',0
none of this so-called satire has any sting to it ,0
 . . . bibbidy-bobbidi-bland . ,0
a few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed ,0
bad in such a bizarre way that it's almost worth seeing ,0
there's more repetition than creativity throughout the movie . ,0
hugh grant's act is so consuming that sometimes it's difficult to tell who the other actors in the movie are . ,0
although the sequel has all the outward elements of the original ,0
i've had more interesting -- and ,0
what we get . . . is caddyshack crossed with the loyal order of raccoons . ,0
the jokes are flat ,0
when a movie asks you to feel sorry for mick jagger's sex life ,0
there are now two signs that m . night shyamalan's debut feature sucked up all he has to give to the mystic genres of cinema : unbreakable and signs . ,0
 . . . hokey art house pretension . ,0
 . . . a weak and ineffective ghost story without a conclusion or pay off . ,0
gussied up with so many distracting special effects and visual party tricks that it's not clear whether we're supposed to shriek or laugh . ,0
plodding ,0
this is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life . ,0
a baffling subplot involving smuggling drugs inside danish cows falls flat ,0
soderbergh seems capable only of delivering artfully lighted ,0
the only thing that distinguishes a randall wallace film from any other is the fact that there is nothing distinguishing in a randall wallace film . ,0
silly stuff ,0
there is so much plodding sensitivity . ,0
the town has kind of an authentic feel ,0
 . . . too sappy for its own good . ,0
circuit queens won't learn a thing ,0
as an actress ,0
every so often a film comes along that is so insanely stupid ,0
expanded to 65 minutes for theatrical release ,0
it all looks and plays like a $40 million version of a game you're more likely to enjoy on a computer . ,0
[javier bardem is] one of the few reasons to watch the film ,0
feels shrill ,0
adults ,0
brady achieves the remarkable feat of squandering a topnotch foursome of actors . . . by shoving them into every clichéd white-trash situation imaginable . ,0
in the name of an allegedly inspiring and easily marketable flick ,0
no amount of blood and disintegrating vampire cadavers can obscure this movie's lack of ideas . ,0
a direct-to-void release ,0
typical animé ,0
below is well below expectations . ,0
at no point during k-19 : the widowmaker did this viewer feel enveloped in a story that ,0
 . . . standard guns versus martial arts cliche with little new added . ,0
empire can't make up its mind whether it wants to be a gangster flick or an art film . it doesn't work as either . ,0
given the fact that virtually no one is bound to show up at theatres for it ,0
possession is in the end an honorable ,0
jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films . ,0
"there may have been a good film in "" trouble every day ",0
unfortunately ,0
viewed as a comedy ,0
there's something unintentionally comic in the film's drumbeat about authenticity ,0
"the master of disguise is funny--not "" ha ha "" funny ",0
a zippy 96 minutes of mediocre special effects ,0
a 75-minute sample of puerile rubbish that is listless ,0
you leave feeling like you've endured a long workout without your pulse ever racing . ,0
the waterlogged script plumbs uncharted depths of stupidity ,0
with mcconaughey in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids ,0
it's the type of stunt the academy loves : a powerful political message stuffed into an otherwise mediocre film . ,0
in theory ,0
so mind-numbingly awful that you hope britney won't do it one more time ,0
the images are usually abbreviated in favor of mushy obviousness and telegraphed pathos ,0
if welles was unhappy at the prospect of the human race splitting in two ,0
sets animation back 30 years ,0
weirdly ,0
might best be enjoyed as a daytime soaper . ,0
eventually arrives at its heart ,0
a showcase for both the scenic splendor of the mountains and for legendary actor michel serrault ,0
boy oh boy ,0
a few pieces of the film buzz and whir ; very little of it actually clicks . the thing just never gets off the ground . ,0
 . . . contains very few laughs and even less surprises . ,0
the actors must indeed be good to recite some of this laughable dialogue with a straight face . ,0
most of the storylines feel like time fillers between surf shots . the movie isn't horrible ,0
however stale the material ,0
there's nothing remotely topical or sexy here . ,0
